ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude
10000000,JE809570,1/31/2018 12:15,8936X N MAIN ST,0278,ASSAULT,SIMPLE,STREET,TRUE,FALSE,180,1,6,28,8,224020,2317891,2018,1/31/2018 12:15,41.78915,-87.59791
10000001,JE331148,3/25/2017 7:45,7360X N MAIN ST,1306,NARCOTICS,POSS: HEROIN(WHITE),STREET,FALSE,FALSE,2320,1,49,21,23,224469,2320044,2017,3/25/2017 7:45,42.004437,-87.553057
10000002,JE201414,5/31/2017 0:48,5882X N MAIN ST,1835,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,TRUE,FALSE,770,2,47,59,18,223176,2318316,2017,5/31/2017 0:48,41.83163,-87.682317
10000003,JE705397,11/19/2015 8:35,3151X N MAIN ST,1542,THEFT,FROM BUILDING,"SCHOOL, PUBLIC, BUILDING",FALSE,TRUE,1790,8,50,38,3,221788,2318974,2015,11/19/2015 8:35,41.897457,-87.821128
10000004,JE270555,4/6/2019 13:17,6066X N MAIN ST,0827,ROBBERY,STRONGARM - NO WEAPON,ALLEY,FALSE,FALSE,780,,44,10,20,222178,2319434,2019,4/6/2019 13:17,41.943416,-87.782188
10000005,JE817870,9/29/2017 6:10,5314X N MAIN ST,1826,ASSAULT,SIMPLE,APARTMENT,FALSE,FALSE,240,8,3,41,13,222289,2318054,2017,9/29/2017 6:10,41.805458,-87.77103
10000006,JE623481,5/12/2021 14:56,6483X N MAIN ST,1911,BATTERY,AGGRAVATED,STREET,FALSE,FALSE,1270,5,17,18,8,224299,2318277,2021,5/12/2021 14:56,41.827742,-87.570028
10000007,JE479580,5/18/2023 15:37,3594X N MAIN ST,0383,MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE W-VIN",APARTMENT,FALSE,FALSE,330,25,4,15,5,223812,2318345,2023,5/18/2023 15:37,41.834549,-87.618708
10000008,JE654816,9/26/2019 17:38,4120X N MAIN ST,1233,ASSAULT,AGGRAVATED: HANDGUN,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,120,22,47,15,22,224649,2318300,2019,9/26/2019 17:38,41.83008,-87.535056
10000009,JE265840,8/15/2023 4:41,7434X N MAIN ST,0106,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,OTHER,TRUE,FALSE,2340,24,17,65,25,225554,2318299,2023,8/15/2023 4:41,,-87.444572
10000010,JE260263,1/5/2022 6:19,6127X N MAIN ST,1661,THEFT,OVER $500,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,2540,25,34,1,20,223696,2318354,2022,1/5/2022 6:19,41.835408,-87.630353
10000011,JE160738,1/26/2019 22:56,3947X N MAIN ST,1898,BATTERY,SIMPLE,STREET,FALSE,FALSE,300,3,47,63,3,222481,2319439,2019,1/26/2019 22:56,41.943904,
10000012,JE377932,5/30/2016 10:08,8646X N MAIN ST,1886,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,APARTMENT,FALSE,FALSE,2560,7,35,26,23,224895,2321003,2016,5/30/2016 10:08,42.100365,-87.510436
10000013,JE226882,4/15/2022 8:23,4062X N MAIN ST,0560,BATTERY,DOMESTIC BATTERY SIMPLE,RETAIL STORE,FALSE,TRUE,150,19,36,30,19,223873,2319371,2022,4/15/2022 8:23,41.937177,-87.612663
10000014,JE446479,1/28/2022 4:03,1161X N MAIN ST,1152,BATTERY,SIMPLE,STREET,TRUE,FALSE,1810,16,14,70,5,222118,2317973,2022,1/28/2022 4:03,41.797373,
10000015,JE299659,6/18/2021 9:30,1546X N MAIN ST,0298,BURGLARY,UNLAWFUL ENTRY,ALLEY,FALSE,FALSE,1000,14,27,60,24,224759,2318412,2021,6/18/2021 9:30,41.841249,-87.524088
10000016,JE939482,3/31/2022 10:06,1791X N MAIN ST,0609,THEFT,FROM BUILDING,SIDEWALK,FALSE,FALSE,1470,15,9,55,6,223836,2317876,2022,3/31/2022 10:06,41.787656,-87.616357
10000017,JE202664,11/5/2015 20:28,0829X N MAIN ST,1435,BATTERY,AGGRAVATED,STREET,FALSE,FALSE,2240,1,6,31,6,224313,2318239,2015,11/5/2015 20:28,41.823946,-87.568632
10000018,JE509386,7/1/2019 0:57,4346X N MAIN ST,1997,CRIMINAL DAMAGE,TO VEHICLE,APARTMENT,TRUE,FALSE,1260,10,28,72,22,224589,2319246,2019,7/1/2019 0:57,41.92467,-87.541025
10000019,JE884309,4/30/2018 19:13,5139X N MAIN ST,0217,BURGLARY,FORCIBLE ENTRY,STREET,FALSE,TRUE,1320,17,34,21,2,223392,2318109,2018,4/30/2018 19:13,41.810963,-87.660721
10000020,JE523389,1/31/2017 21:04,1965X N MAIN ST,1923,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,TRUE,FALSE,1580,20,3,11,14,224801,2317574,2017,1/31/2017 21:04,41.757448,-87.519835
10000021,JE350280,7/19/2018 2:59,4352X N MAIN ST,0910,ASSAULT,AGGRAVATED: HANDGUN,APARTMENT,TRUE,TRUE,1750,10,30,41,25,222505,2317895,2018,7/19/2018 2:59,41.789593,-87.749421
10000022,JE630458,12/19/2021 19:36,4346X N MAIN ST,0371,OTHER OFFENSE,HARASSMENT BY TELEPHONE,STREET,TRUE,FALSE,2350,3,16,48,10,223998,2319448,2021,12/19/2021 19:36,41.944884,-87.600144
10000023,JE800305,11/21/2022 14:19,9087X N MAIN ST,0713,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,360,5,17,,4,223056,2319070,2022,11/21/2022 14:19,41.907031,-87.694312
10000024,JE820892,2/28/2018 19:38,4326X N MAIN ST,1135,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,2410,2,6,55,9,224040,2319977,2018,2/28/2018 19:38,41.997735,-87.595982
10000025,JE678478,6/19/2016 15:40,7008X N MAIN ST,1248,THEFT,RETAIL THEFT,RESIDENCE,TRUE,TRUE,290,23,10,70,2,224523,2316685,2016,6/19/2016 15:40,41.66852,-87.54761
10000026,JE934794,8/29/2016 0:27,0654X N MAIN ST,1940,ROBBERY,STRONGARM - NO WEAPON,APARTMENT,TRUE,FALSE,1840,8,43,14,12,224744,2317645,2016,8/29/2016 0:27,41.7646,-87.525551
10000027,JE270395,7/23/2019 15:39,2901X N MAIN ST,1905,MOTOR VEHICLE THEFT,AUTOMOBILE,ALLEY,TRUE,FALSE,550,24,22,53,26,224059,2318605,2019,7/23/2019 15:39,41.860526,-87.594089
10000028,JE501124,10/13/2017 13:17,0635X N MAIN ST,1858,BURGLARY,FORCIBLE ENTRY,OTHER,FALSE,FALSE,610,15,23,40,26,224445,2318149,2017,10/13/2017 13:17,41.814959,-87.555429
